goods_no,goods_nm,gender,item_cat_cd,d_cat_nm,full_nm,imgurl
5253523,어글리 뽀글이 인형 S 화이트 오리 키링인형 열쇠고리 (OPP비닐 포장),U,11012,키링/키케이스,Accessory > 키링/키케이스,https://image.msscdn.net/thumbnails/images/goods_img/20250717/5253523/5253523_17527271084603_500.jpg
2241712,Smock Padding Coat  Black,W,29010001,롱 패딩/롱 헤비 아우터,Clothing > 패딩/헤비 아우터 > 롱 패딩/롱 헤비 아우터,https://image.msscdn.net/thumbnails/images/goods_img/20211119/2241712/2241712_1_500.jpg
2543623,히알루론 모이스처 토너,U,15002004,스킨/토너,Beauty > 스킨케어 > 스킨/토너,https://image.msscdn.net/thumbnails/images/goods_img/20220506/2543623/2543623_17097955024312_500.jpg
4018736,CO 립조직 절개 조거핏 팬츠 M_Dark Green,M,27013010,조거 팬츠,Sportswear > 하의 > 조거 팬츠,https://image.msscdn.net/thumbnails/images/goods_img/20240402/4018736/4018736_17120569799270_500.jpg
4969396,가스 스테이션 로고 티셔츠 atb1289m(BLACK),W,29001001,반소매 티셔츠,Clothing > 티셔츠 > 반소매 티셔츠,https://image.msscdn.net/thumbnails/images/goods_img/20250331/4969396/4969396_17436588704889_500.jpg
4910533,에너자이트 슬라이드 차콜(SQ123LSD35),M,5018002,슬라이드,Shoes > 슬리퍼 > 슬라이드,https://image.msscdn.net/thumbnails/images/goods_img/20250318/4910533/4910533_17483089450191_500.jpg
4697873,패트릭(N4)_Navy,M,32003001,중등산화,Sportsshoes > 등산/트레킹화 > 중등산화,https://image.msscdn.net/thumbnails/images/goods_img/20250103/4697873/4697873_17358917067798_500.jpg
1561708,네이비 루즈핏 멀티 스트라이프 셔츠,M,29002001,캐주얼 셔츠,Clothing > 셔츠/남방 > 캐주얼 셔츠,https://image.msscdn.net/thumbnails/images/goods_img/20200824/1561708/1561708_2_500.jpg
3225877,스탠다드 나일론 쇼츠 팬츠 (스카이블루),M,29015006,숏팬츠,Clothing > 바지 > 숏팬츠,https://image.msscdn.net/thumbnails/images/goods_img/20230411/3225877/3225877_16812082449859_500.jpg
5029184,[BABY] 트위디 보넷 SET 소라,W,31002002,우주복,Kids > 12개월 이하 > 우주복,https://image.msscdn.net/thumbnails/images/goods_img/20250415/5029184/5029184_17446928224670_500.jpg
3225830,어성초 마데카소사이드 트러블 수딩 수분 진정 토너패드 100매 + 리필 100매,M,15002013,패드,Beauty > 스킨케어 > 패드,https://image.msscdn.net/thumbnails/images/goods_img/20230411/3225830/3225830_17449452210108_500.jpg
869371,안경 ORIGIN과 결합되는 CLIP 49A_SIGR,M,9001001,패션 선글라스,Eyewear > 선글라스 > 패션 선글라스,https://image.msscdn.net/thumbnails/images/goods_img/20180929/869371/869371_1_500.jpg
5223865,해이 스트라이프 니트 탑,W,29001003,나시/민소매 티셔츠,Clothing > 티셔츠 > 나시/민소매 티셔츠,https://image.msscdn.net/thumbnails/images/goods_img/20250702/5223865/5223865_17514681806302_500.jpg
3923768,BSM RAIN BOOTS LONG - SMOKY CHARCOAL,W,5011005,레인 부츠,Shoes > 부츠 > 레인 부츠,https://image.msscdn.net/thumbnails/images/goods_img/20240305/3923768/3923768_17098817852987_500.jpg
5194661,도트씨 슬림핏 반팔 티셔츠 블랙,W,29001001,반소매 티셔츠,Clothing > 티셔츠 > 반소매 티셔츠,https://image.msscdn.net/thumbnails/images/goods_img/20250619/5194661/5194661_17502956366537_500.jpg
4235590,젤라 밴딩바스타올 최고급모달텐셀 (1p),U,36025001,수건/타올,Life > 욕실용품 > 수건/타올,https://image.msscdn.net/thumbnails/images/goods_img/20240705/4235590/4235590_17361517661861_500.jpg
4056399,미니 스커트 레이어드 팬츠 NAEU3-WQS050_430,W,29014003,미니스커트,Clothing > 스커트 > 미니스커트,https://image.msscdn.net/thumbnails/images/goods_img/20240416/4056399/4056399_17132294903275_500.jpg
4657403,[젤리 두들다이노]폰케이스 갤럭시s24/23/22/21 플러스 울트라 아이폰16/15/14/13/12/11 미니 프로 맥스 커플,U,12022002,휴대폰 케이스,Digital/Tech > 휴대폰 > 휴대폰 케이스,https://image.msscdn.net/thumbnails/images/goods_img/20241209/4657403/4657403_17337340089883_500.jpg
4774389,티트리 리페어 솔루션 크림 50ml,U,15002010,크림,Beauty > 스킨케어 > 크림,https://image.msscdn.net/thumbnails/images/goods_img/20250211/4774389/4774389_17485957170385_500.jpg
5196829,샌디에이고 오버핏 반팔티-블랙,M,29001001,반소매 티셔츠,Clothing > 티셔츠 > 반소매 티셔츠,https://image.msscdn.net/thumbnails/images/goods_img/20250619/5196829/5196829_17503255988115_500.jpg
3597444,HJ23111_2colors,W,5023002,메리제인 슈즈,Shoes > 여성 구두 > 메리제인 슈즈,https://image.msscdn.net/thumbnails/images/goods_img/20230927/3597444/3597444_16957708167720_500.jpg
4773890,에센셜 테리 스웨트셔츠 (T12F0TPO040MT1YBR),M,29001005,맨투맨/스웨트셔츠,Clothing > 티셔츠 > 맨투맨/스웨트셔츠,https://image.msscdn.net/thumbnails/images/goods_img/20250210/4773890/4773890_17391820370461_500.jpg
2357948,파로 오버 사이즈 부클 가디건 루센트 아이보리,W,29004,니트/스웨터,Clothing > 니트/스웨터,https://image.msscdn.net/thumbnails/images/goods_img/20220214/2357948/2357948_17241627410238_500.jpg
5259827,클락스 남성 가죽 스니커즈 2종 택1 CLAOXC3901MF,M,5025005,패션스니커즈화,Shoes > 스니커즈 > 패션스니커즈화,https://image.msscdn.net/thumbnails/images/goods_img/20250721/5259827/5259827_17530792555692_500.jpg
4366899,[MEN] 오리지날 트래블 톨 레인부츠 - 블랙 MFT9000RPBBLK,M,5011005,레인 부츠,Shoes > 부츠 > 레인 부츠,https://image.msscdn.net/thumbnails/images/goods_img/20240823/4366899/4366899_17367553994846_500.jpg
4630485,에디션 피치기모 데님팬츠,W,31011007,기타 바지,Kids > 바지 > 기타 바지,https://image.msscdn.net/thumbnails/images/goods_img/20241121/4630485/4630485_17321775324037_500.jpg
3800377,Black Graffiti Spagetti Strap Long Dress,W,29013002,미디 원피스,Clothing > 원피스 > 미디 원피스,https://image.msscdn.net/thumbnails/images/goods_img/20240117/3800377/3800377_17061573781730_500.png
4524766,스팽글 가디건_네이비,W,29008,카디건,Clothing > 카디건,https://image.msscdn.net/thumbnails/images/goods_img/20241016/4524766/4524766_17290625182838_500.jpg
4541908,알도 피니 사첼 백 - 라이트 브라운 ADB2H174HZ235,M,4015,토트백,Bag > 토트백,https://image.msscdn.net/thumbnails/images/goods_img/20241022/4541908/4541908_17295602534563_500.jpg
